N,m,trial,nd_size,Naive_ms,MTF_ms,M3_ms
1000,10,16,774,5.032457999959661,4.68638600000304,4.4629580000901115
1000,10,17,800,5.162224999935461,4.836758000010377,4.618219999997564
1000,10,18,782,5.0314100000150574,4.693160999977408,4.478882999933376
1000,10,19,774,5.06835700002739,4.412043999991511,4.35770500007493
1000,10,20,737,4.907998000021507,4.184845000054338,4.096842999956607
1000,10,21,767,4.911419999984901,4.413720000002286,4.414349000057882
1000,10,22,809,5.155172000058883,4.801137999947969,4.653211000004376
1000,10,23,783,5.105931999992208,4.556966999984979,4.488591000040287
1000,10,24,790,5.318604000080995,4.979098000035265,4.787588999988657
1000,10,25,780,4.931465000026947,4.534617000103935,4.437466000013046
1000,10,26,797,5.200570000056359,4.908836000026895,4.708596000000398
1000,10,27,797,5.282494999960363,4.80512000001454,4.528751000066222
1000,10,28,759,4.591959000094903,4.2613929999788525,4.310003999989931
1000,10,29,768,4.474063999964528,4.134347999979582,4.1288310000027195
10000,10,0,5036,300.8264820000477,198.360017999903,217.7782890000799
10000,10,1,5081,303.4837200000311,202.15695199999573,220.60901699990154
10000,10,2,4664,307.53544800006694,183.83067599995684,201.55092800007424
10000,10,3,4705,334.5095949999859,204.87712200008446,218.3236890000444
10000,10,4,4981,340.15555099995254,212.19720900000993,227.2403839999697
10000,10,5,4792,298.52005299994744,177.8634370000418,189.42752599991763
10000,10,6,5202,322.8357149999965,225.32348400000046,242.7969090000488
10000,10,7,4868,313.4187960000645,202.465658000051,220.465979000096
10000,10,8,4848,300.42299299998376,191.46323899997242,206.9539660000146
10000,10,9,4825,290.9897350000392,181.04589600000054,200.93553399999564
10000,10,10,5065,302.889989999926,196.03955800005224,214.27455200000622
10000,10,11,4874,306.95567800000845,192.5476220000064,211.2720040000795
10000,10,12,5054,306.9980720000558,206.29136700006256,222.04847599994082
10000,10,13,5041,312.2533939999812,204.04661700001725,219.08119800002623
10000,10,14,4567,326.461606999942,198.9751940000133,218.79093999996257
10000,10,15,5507,361.23629400003665,246.44759400007388,257.04205700003513
10000,10,16,5063,352.9659159999028,235.08988399998998,246.48418799995397
10000,10,17,4952,333.5733449999907,202.661490999958,214.54008499995325
10000,10,18,4532,337.00096500001564,211.12296300009348,225.5222550001008
